id,label
Tiësto,male
Armin van Buuren,male
Major League,unknown
Suzanne Palmer,female
Junkie XL,male
Nicola Hitchcock,female
BT,male
Kirsty Hawkshaw,female
Allure,unknown
Maxi Jazz,male
Christian Burns,male
JES,female
Julie Thompson,female
C.C. Sheffield,unknown
Nelly Furtado,female
Three 6 Mafia,unknown
Sean Kingston,male
Flo Rida,male
Diplo,male
Busta Rhymes,male
Kaskade,male
Haley Gibby,female
Mark Knight,male
Dino Lenny,male
My Name Is Kay,unknown
Steve Aoki,male
Wolfgang Gartner,male
Luciana,female
Showtek,unknown
Kyler England,female
Nari & Milani,unknown
Delayers,unknown
Disco Fries,unknown
Alvaro,male
Twoloud,unknown
Matthew Koma,male
Icona Pop,unknown
MOTi,male
KSHMR,male
Vassy,female
Martin Garrix,male
DallasK,male
The Chainsmokers,unknown
Oliver Heldens,male
Natalie La Rose,female
Bobby Puma,unknown
Ummet Ozcan,male
Mike Williams,male
Bright Sparks,unknown
Gucci Mane,male
Sevenn,unknown
Matisse & Sadko,unknown
Dzeko,male
Preme,male
Post Malone,male
Lena Leon,female
Justin Caruso,male
Kelli‐Leigh,female
Jonas Blue,male
Rita Ora,female
Moska,male
Stevie Appleton,male
Becky Hill,female
VER:WEST,male
Ty Dolla $ign,male
KAROL G,female
Tomhio,unknown
Killfake,unknown
Lucas & Steve,unknown
Ava Max,female
Black Eyed Peas,unknown
Farruko,male
Tegan and Sara,unknown
David Guetta,male
Robert Owens,male
Chris Willis,male
David Bowie,male
Moné,female
JD Davis,male
The Egg,unknown
Cozi,female
Tocadisco,male
Steve Angello,male
Sebastian Ingrosso,male
Kelly Rowland,female
Estelle,female
Akon,male
Kid Cudi,male
Fergie,female
LMFAO,unknown
Afrojack,male
Niles Mason,male
Rihanna,female
Snoop Dogg,male
Nicki Minaj,female
Taio Cruz,male
Ludacris,male
Usher,male
Sia,female
Jack Back,male
Nicky Romero,male
Ne‐Yo,male
Max Elto,unknown
GLOWINTHEDARK,unknown
Harrison,male
Skylar Grey,female
Kaz James,male
Sam Martin,male
Emeli Sandé,female
MAGIC!,unknown
Sonny Wilson,male
Fetty Wap,male
Zara Larsson,female
Cedric Gervais,male
Robin Schulz,male
Cheat Codes,unknown
Lil Wayne,male
Ester Dean,female
Justin Bieber,male
Dimitri Vegas & Like Mike,unknown
Kiiara,female
Charli XCX,female
French Montana,male
Jamie Scott,male
Romy Dya,unknown
Sean Paul,male
Becky G,female
Brooks,male
Anne‐Marie,female
Black Coffee,male
Delilah Montagu,female
Jason Derulo,male
Willy William,male
Netsky,male
Loote,unknown
Tom Staar,male
RAYE,female
Daddy Yankee,male
Afro Bros,unknown
Natti Natasha,female
Martin Solveig,male
MORTEN,male
Aloe Blacc,male
Lovespeake,unknown
Lanie Gardner,female
Joel Corry,male
Galantis,unknown
Little Mix,unknown
MistaJam,male
John Newman,male
Devito,male
Bebe Rexha,female
A Boogie Wit da Hoodie,male
Roland Clark,male
Faithless,unknown
Felix da Housecat,male
Miss Kittin,female
Bryson Tiller,male
Ella Henderson,female
Sigala,male
Sam Ryder,male
Chris Brown,male
Fat Joe,male
Remy Ma,female
Infa‐Red,unknown
Bruno Mars,male
Angerfist,male
DJ Vince,male
Predator,male
DJ Outblast,male
MC Nolz,male
MC Tha Watcher,male
Miss K8,female
The Bloody Beetroots,unknown
Sidney Samson,male
Miss Palmer,unknown
Rivers Cuomo,male
Diana Gordon,female
Angger Dimas,male
Iggy Azalea,female
Chris Lake,male
Tujamo,male
Linkin Park,unknown
R3HAB,male
Deorro,male
Waka Flocka Flame,male
Kid Ink,male
Moxie Raia,female
Felix Jaehn,male
Adam Lambert,male
Boehm,male
Don Diablo,male
Lush & Simon,unknown
Louis Tomlinson,male
Young Egypt,unknown
DVBBS,unknown
2 Chainz,male
Play-N-Skillz,unknown
Elvis Crespo,male
Quintino,male
Laidback Luke,male
Marnik,unknown
MAKJ,male
Max Styler,male
Ina Wroldsen,female
BTS,unknown
Alan Walker,male
ISÁK,unknown
Dagny,female
MONSTA X,unknown
Alok,male
Kris Kiss,unknown
Darren Criss,male
Timmy Trumpet,male
Dr. Phunk,male
Backstreet Boys,unknown
Sting,male
SHAED,unknown
LAY,male
will.i.am,male
Frank Walker,male
AJ Mitchell,male
Yellow Claw,unknown
RUNN,female
SEKAI NO OWARI,unknown
DJ Diesel,male
Lil Jon,male
Chiddy Bang,unknown
Rune RK,male
Nicholas Furlong,male
Flux Pavilion,male
Fall Out Boy,unknown
NERVO,unknown
Tony Junior,male
Walk off the Earth,unknown
Sherry St. Germain,male
blink‐182,unknown
Rich the Kid,male
iLoveMakonnen,male
Bodycode,male
Nina Kraviz,female
Gimmick,unknown
Darkstar,unknown
Rising Star,male
Perpetuous Dreamer,unknown
System F,male
Ray Wilson,male
Justine Suissa,female
M.I.K.E.,male
Jan Vayne,male
Nadia Ali,female
Racoon,unknown
Herman Brood,male
Rank 1,unknown
Kush,unknown
Tony Scott,male
DJ Remy & Roland Klinkenberg,unknown
Susana,female
DJ Shah,male
Chris Jones,male
Sharon den Adel,female
Jennifer Rene,female
Jacqueline Govaert,female
VanVelzen,male
Sophie Ellis‐Bextor,female
Laura V,female
Gaia,unknown
Ferry Corsten,male
Adam Young,male
Ana Criado,female
Ørjan Nilsen,male
Fiora,female
Markus Schulz,male
ARTY,male
W&W,unknown
Trevor Guthrie,male
Cindy Alma,female
Andrew Rayel,male
Mark Sixma,unknown
Mr. Probz,male
Jean‐Michel Jarre,male
Kensington,unknown
Human Resource,unknown
Garibay,male
Olaf Blackwood,male
Josh Cumbee,male
James Newman,male
Vini Vici,unknown
Sunnery James & Ryan Marciano,unknown
Bonnie McKee,female
Marco Borsato,male
Davina Michelle,female
MaRLo,male
Mila Josef,female
Fatum,unknown
Brennan Heart,male
Andreas Moe,male
Blasterjaxx,unknown
Duncan Laurence,male
Avalan,unknown
Alesso,male
DubVision,unknown
YOU,male
Sam Gray,male
Eric Vloeimans,male
Hardwell,male
I-Fan,male
Funkadelic,unknown
Franky Rizardo,male
Chuckie,male
Ambush,unknown
Joeysuki,unknown
Dannic,male
Mitch Crown,male
Red Carpet,unknown
Amba Shepherd,female
Dyro,male
Bright Lights,female
Joey Dale,male
Fatman Scoop,male
Haris,male
Jake Reese,male
Thomas Newson,male
Austin Mahone,male
Bizzey,male
Lil’ Kleine,male
Chivv,male
Wildstylez,male
KiFi,male
Kaaze,male
Suyano,female
Richie Loop,male
VINAI,unknown
Cam Meekins,male
Conor Maynard,male
Maddix,male
4 Strings,unknown
Sub Zero Project,unknown
Henry Fong,male
Mr. Vegas,male
Miss Monique,female
The Alexsander,unknown
Vania,female
Nora en Pure,female
Passenger 10,male
Penny Foster,female
Redondo,unknown
Ashibah,unknown
Golden Boy,male
Kris Menace,male
Guy Gerber,male
ANNA,female
The Partysquad,unknown
Major Lazer,unknown
Vybz Kartel,male
Bobby Burns,male
Eva Simons,female
Pitbull,male
Nayer,female
Shermanology,unknown
Spree Wilson,male
Mike Taylor,female
Hawkboy,unknown
Oliver Rosa,male
Dirtcaps,unknown
Stush,female
Stanaj,male
D.O.D.,male
TIM-BER,unknown
Jewelz & Sparks,unknown
Chico Rose,unknown
Yves V,male
Ally Brooke,female
Jeremih,male
Azteck,male
Imanbek,male
Gia Koka,female
Never Sleeps,unknown
Keane,unknown
Wrabel,male
Thirty Seconds to Mars,unknown
Scott Brown,male
Paul Elstak,male
DJ Rab S,male
Marc Smith,male
Gillian Tennant,female
DJ Neophyte,unknown
DJ Brisk,male
Brisk & Trixxy,unknown
Mark Smith,male
Plus System,male
Ultrabeat,unknown
Si Thompson,unknown
Special D.,male
Re-Style,male
Ceci,unknown
Kelly C,female
Ganah,male
Bridson,unknown
Lenny Dee,male
DJ Rob,male
MC Hughie Babe,unknown
The Stunned Guys,unknown
Teenage Warning,unknown
Urban Menace,unknown
Attic & Stylzz,unknown
DJ Panic,male
DJ Distortion,male
Firestone,male
DJ Dione,male
Tommyknocker,male
New Kids,unknown
Jantine,female
Psycho Boys Club,unknown
Restrained,male
